"Status van bewoning";"Perioden";"Regio's";"Totale woningvoorraad (aantal)";"Koopwoningen (aantal)";"Huurwoningen/Totaal huurwoningen (aantal)";"Huurwoningen/Eigendom woningcorporatie (aantal)";"Huurwoningen/Eigendom overige verhuurders (aantal)";"Eigendom onbekend (aantal)"
"Totaal";"2012";"Nederland";" 7386743";" 4182889";" 3121980";" 2269883";"  852097";"   81874"
"Totaal";"2013";"Nederland";" 7449298";" 4216760";" 3171057";" 2277246";"  893811";"   61481"
"Totaal";"2014";"Nederland";" 7535315";" 4238259";" 3217156";" 2275389";"  941767";"   79900"
"Totaal";"2015";"Nederland";" 7587964";" 4266966";" 3244238";" 2304505";"  939733";"   76760"
"Totaal";"2016";"Nederland";" 7641323";" 4300406";" 3256930";" 2281742";"  975188";"   83987"
"Totaal";"2017";"Nederland";" 7686178";" 4321868";" 3283957";" 2273731";" 1010226";"   80353"
"Totaal";"2018";"Nederland";" 7740984";" 4386769";" 3275965";" 2268383";" 1007582";"   78250"
"Totaal";"2019";"Nederland";" 7814912";" 4487894";" 3299639";" 2300031";"  999608";"   27379"
"Totaal";"2020";"Nederland";" 7891786";" 4517921";" 3357721";" 2298885";" 1058836";"   16144"
"Totaal";"2021";"Nederland";" 7966331";" 4549480";" 3401779";" 2301737";" 1100042";"   15072"
"Totaal";"2022";"Nederland";" 8045580";" 4597518";" 3434455";" 2305772";" 1128683";"   13607"
"Totaal";"2023";"Nederland";" 8125229";" 4634411";" 3479588";" 2312981";" 1166607";"   11230"
"Totaal";"2012";"Groningen (PV)";"  265332";"  148239";"  113659";"   80729";"   32930";"    3434"
"Totaal";"2013";"Groningen (PV)";"  267466";"  148656";"  116356";"   81662";"   34694";"    2454"
"Totaal";"2014";"Groningen (PV)";"  271087";"  148758";"  119653";"   82403";"   37250";"    2676"
"Totaal";"2015";"Groningen (PV)";"  272774";"  148949";"  121738";"   85546";"   36192";"    2087"
"Totaal";"2016";"Groningen (PV)";"  274719";"  149548";"  122718";"   84886";"   37832";"    2453"
"Totaal";"2017";"Groningen (PV)";"  276728";"  150040";"  124247";"   84418";"   39829";"    2441"
"Totaal";"2018";"Groningen (PV)";"  277113";"  151975";"  122368";"   82673";"   39695";"    2770"
"Totaal";"2019";"Groningen (PV)";"  279662";"  154284";"  124154";"   83606";"   40548";"    1224"
"Totaal";"2020";"Groningen (PV)";"  282047";"  154584";"  126577";"   83182";"   43395";"     886"
"Totaal";"2021";"Groningen (PV)";"  285012";"  154924";"  129577";"   82335";"   47242";"     511"
"Totaal";"2022";"Groningen (PV)";"  287568";"  156070";"  130807";"   82121";"   48686";"     691"
"Totaal";"2023";"Groningen (PV)";"  290562";"  157104";"  132971";"   82773";"   50198";"     487"
"Totaal";"2012";"Fryslân (PV)";"  287340";"  177956";"  107223";"   81989";"   25234";"    2161"
"Totaal";"2013";"Fryslân (PV)";"  289380";"  179362";"  108550";"   82117";"   26433";"    1468"
"Totaal";"2014";"Fryslân (PV)";"  292180";"  179270";"  110097";"   81917";"   28180";"    2813"
"Totaal";"2015";"Fryslân (PV)";"  294169";"  179774";"  110938";"   82448";"   28490";"    3457"
"Totaal";"2016";"Fryslân (PV)";"  295540";"  180232";"  111384";"   81158";"   30226";"    3924"
"Totaal";"2017";"Fryslân (PV)";"  296463";"  180920";"  111652";"   80717";"   30935";"    3891"
"Totaal";"2018";"Fryslân (PV)";"  298425";"  183424";"  110940";"   80727";"   30213";"    4061"
"Totaal";"2019";"Fryslân (PV)";"  300238";"  187147";"  112051";"   82033";"   30018";"    1040"
"Totaal";"2020";"Fryslân (PV)";"  302578";"  187891";"  114198";"   81764";"   32434";"     489"
"Totaal";"2021";"Fryslân (PV)";"  304693";"  188927";"  115309";"   81582";"   33727";"     457"
"Totaal";"2022";"Fryslân (PV)";"  306633";"  190414";"  115806";"   81393";"   34413";"     413"
"Totaal";"2023";"Fryslân (PV)";"  308768";"  191615";"  116822";"   81268";"   35554";"     331"
"Totaal";"2012";"Drenthe (PV)";"  219432";"  141292";"   74184";"   55065";"   19119";"    3956"
"Totaal";"2013";"Drenthe (PV)";"  214890";"  140359";"   72753";"   53972";"   18781";"    1778"
"Totaal";"2014";"Drenthe (PV)";"  218025";"  141011";"   74462";"   53915";"   20547";"    2552"
"Totaal";"2015";"Drenthe (PV)";"  218383";"  141242";"   74689";"   53918";"   20771";"    2452"
"Totaal";"2016";"Drenthe (PV)";"  218625";"  142054";"   73893";"   53840";"   20053";"    2678"
"Totaal";"2017";"Drenthe (PV)";"  219240";"  142197";"   74289";"   53850";"   20439";"    2754"
"Totaal";"2018";"Drenthe (PV)";"  220818";"  143746";"   74308";"   54001";"   20307";"    2764"
"Totaal";"2019";"Drenthe (PV)";"  222197";"  146740";"   74835";"   55658";"   19177";"     622"
"Totaal";"2020";"Drenthe (PV)";"  223251";"  147267";"   75727";"   55294";"   20433";"     257"
"Totaal";"2021";"Drenthe (PV)";"  224556";"  148079";"   76185";"   55363";"   20822";"     292"
"Totaal";"2022";"Drenthe (PV)";"  226319";"  149684";"   76410";"   55358";"   21052";"     225"
"Totaal";"2023";"Drenthe (PV)";"  227907";"  150708";"   76973";"   55285";"   21688";"     226"
"Totaal";"2012";"Overijssel (PV)";"  482572";"  289489";"  188045";"  139728";"   48317";"    5038"
"Totaal";"2013";"Overijssel (PV)";"  485391";"  291336";"  190267";"  139803";"   50464";"    3788"
"Totaal";"2014";"Overijssel (PV)";"  487577";"  291816";"  190849";"  138616";"   52233";"    4912"
"Totaal";"2015";"Overijssel (PV)";"  490227";"  293657";"  191563";"  141475";"   50088";"    5007"
"Totaal";"2016";"Overijssel (PV)";"  493757";"  295204";"  193294";"  139384";"   53910";"    5259"
"Totaal";"2017";"Overijssel (PV)";"  497361";"  295865";"  196326";"  140491";"   55835";"    5170"
"Totaal";"2018";"Overijssel (PV)";"  499951";"  302439";"  192810";"  139420";"   53390";"    4702"
"Totaal";"2019";"Overijssel (PV)";"  505343";"  308443";"  195612";"  140656";"   54956";"    1288"
"Totaal";"2020";"Overijssel (PV)";"  510296";"  310844";"  198869";"  140851";"   58018";"     583"
"Totaal";"2021";"Overijssel (PV)";"  514993";"  313196";"  201337";"  141108";"   60229";"     460"
"Totaal";"2022";"Overijssel (PV)";"  518558";"  316305";"  201848";"  140803";"   61045";"     405"
"Totaal";"2023";"Overijssel (PV)";"  522916";"  318872";"  203713";"  140898";"   62815";"     331"
"Totaal";"2012";"Flevoland (PV)";"  158061";"  101537";"   55003";"   43040";"   11963";"    1521"
"Totaal";"2013";"Flevoland (PV)";"  159496";"  102522";"   56134";"   42861";"   13273";"     840"
"Totaal";"2014";"Flevoland (PV)";"  161512";"  103306";"   57343";"   43016";"   14327";"     863"
"Totaal";"2015";"Flevoland (PV)";"  162731";"  104143";"   57660";"   43158";"   14502";"     928"
"Totaal";"2016";"Flevoland (PV)";"  162918";"  104778";"   57357";"   43306";"   14051";"     783"
"Totaal";"2017";"Flevoland (PV)";"  164229";"  105313";"   58212";"   43218";"   14994";"     704"
"Totaal";"2018";"Flevoland (PV)";"  166487";"  106430";"   59225";"   43262";"   15963";"     832"
"Totaal";"2019";"Flevoland (PV)";"  169237";"  110598";"   58364";"   44594";"   13770";"     275"
"Totaal";"2020";"Flevoland (PV)";"  172227";"  112198";"   59952";"   45006";"   14946";"      77"
"Totaal";"2021";"Flevoland (PV)";"  174659";"  113347";"   61212";"   45257";"   15955";"     100"
"Totaal";"2022";"Flevoland (PV)";"  178000";"  115429";"   62495";"   46074";"   16421";"      76"
"Totaal";"2023";"Flevoland (PV)";"  181165";"  116844";"   64236";"   46274";"   17962";"      85"
"Totaal";"2012";"Gelderland (PV)";"  845193";"  507201";"  325027";"  237027";"   88000";"   12965"
"Totaal";"2013";"Gelderland (PV)";"  859847";"  512172";"  335863";"  240283";"   95580";"   11812"
"Totaal";"2014";"Gelderland (PV)";"  869410";"  514963";"  341602";"  239009";"  102593";"   12845"
"Totaal";"2015";"Gelderland (PV)";"  877662";"  519076";"  347177";"  245867";"  101310";"   11409"
"Totaal";"2016";"Gelderland (PV)";"  885679";"  524949";"  348599";"  245736";"  102863";"   12131"
"Totaal";"2017";"Gelderland (PV)";"  888062";"  527228";"  349182";"  242281";"  106901";"   11652"
"Totaal";"2018";"Gelderland (PV)";"  893989";"  537999";"  346053";"  244078";"  101975";"    9937"
"Totaal";"2019";"Gelderland (PV)";"  903256";"  550266";"  349417";"  248714";"  100703";"    3573"
"Totaal";"2020";"Gelderland (PV)";"  912372";"  555930";"  354888";"  248696";"  106192";"    1554"
"Totaal";"2021";"Gelderland (PV)";"  922524";"  561826";"  359581";"  249428";"  110153";"    1117"
"Totaal";"2022";"Gelderland (PV)";"  932116";"  568530";"  362869";"  250096";"  112773";"     717"
"Totaal";"2023";"Gelderland (PV)";"  940858";"  573452";"  366808";"  250617";"  116191";"     598"
"Totaal";"2012";"Utrecht (PV)";"  528124";"  303721";"  215302";"  153353";"   61949";"    9101"
"Totaal";"2013";"Utrecht (PV)";"  534592";"  307541";"  221205";"  154208";"   66997";"    5846"
