region,year,value
Appingedam,1997,52.0
Appingedam,1998,52.0
Appingedam,1999,52.0
Appingedam,2000,53.0
Appingedam,2001,74.0
Appingedam,2002,74.0
Appingedam,2003,76.0
Appingedam,2004,77.0
Appingedam,2005,117.0
Appingedam,2006,118.0
Appingedam,2007,137.0
Appingedam,2008,145.0
Appingedam,2009,150.0
Appingedam,2010,152.0
Appingedam,2011,156.0
Appingedam,2012,154.0
Appingedam,2013,149.0
Appingedam,2014,142.0
Appingedam,2015,134.0
Appingedam,2016,131.0
Appingedam,2017,133.0
Appingedam,2018,138.0
Appingedam,2019,143.0
Appingedam,2020,155.0
Appingedam,2021,
Appingedam,2022,
Appingedam,2023,
Appingedam,2024,
Assen,1997,66.0
Assen,1998,68.0
Assen,1999,68.0
Assen,2000,69.0
Assen,2001,94.0
Assen,2002,95.0
Assen,2003,97.0
Assen,2004,98.0
Assen,2005,148.0
Assen,2006,149.0
Assen,2007,161.0
Assen,2008,173.0
Assen,2009,181.0
Assen,2010,182.0
Assen,2011,181.0
Assen,2012,177.0
Assen,2013,170.0
Assen,2014,162.0
Assen,2015,159.0
Assen,2016,159.0
Assen,2017,168.0
Assen,2018,172.0
Assen,2019,184.0
Assen,2020,195.0
Assen,2021,210.0
Assen,2022,237.0
Assen,2023,278.0
Assen,2024,284.0
Loppersum,1997,49.0
Loppersum,1998,50.0
Loppersum,1999,50.0
Loppersum,2000,50.0
Loppersum,2001,87.0
Loppersum,2002,87.0
Loppersum,2003,88.0
Loppersum,2004,88.0
Loppersum,2005,139.0
Loppersum,2006,140.0
Loppersum,2007,156.0
Loppersum,2008,171.0
Loppersum,2009,177.0
Loppersum,2010,177.0
Loppersum,2011,174.0
Loppersum,2012,171.0
Loppersum,2013,165.0
Loppersum,2014,152.0
Loppersum,2015,145.0
Loppersum,2016,143.0
Loppersum,2017,144.0
Loppersum,2018,149.0
Loppersum,2019,161.0
Loppersum,2020,175.0
Loppersum,2021,
Loppersum,2022,
Loppersum,2023,
Loppersum,2024,
Schoorl,1997,138.0
Schoorl,1998,138.0
Schoorl,1999,139.0
Schoorl,2000,139.0
Schoorl,2001,
Schoorl,2002,
Schoorl,2003,
Schoorl,2004,
Schoorl,2005,
Schoorl,2006,
Schoorl,2007,
Schoorl,2008,
Schoorl,2009,
Schoorl,2010,
Schoorl,2011,
Schoorl,2012,
Schoorl,2013,
Schoorl,2014,
Schoorl,2015,
Schoorl,2016,
Schoorl,2017,
Schoorl,2018,
Schoorl,2019,
Schoorl,2020,
Schoorl,2021,
Schoorl,2022,
Schoorl,2023,
Schoorl,2024,
Slochteren,1997,62.0
Slochteren,1998,62.0
Slochteren,1999,63.0
Slochteren,2000,64.0
Slochteren,2001,107.0
Slochteren,2002,108.0
Slochteren,2003,109.0
Slochteren,2004,109.0
Slochteren,2005,170.0
Slochteren,2006,171.0
Slochteren,2007,183.0
Slochteren,2008,200.0
Slochteren,2009,205.0
Slochteren,2010,210.0
Slochteren,2011,204.0
Slochteren,2012,195.0
Slochteren,2013,189.0
Slochteren,2014,184.0
Slochteren,2015,185.0
Slochteren,2016,187.0
Slochteren,2017,187.0
Slochteren,2018,
Slochteren,2019,
Slochteren,2020,
Slochteren,2021,
Slochteren,2022,
Slochteren,2023,
Slochteren,2024,
