region,year,value
Anloo,1997,76.0
Anloo,1998,
Anloo,1999,
Anloo,2000,
Anloo,2001,
Anloo,2002,
Anloo,2003,
Anloo,2004,
Anloo,2005,
Anloo,2006,
Anloo,2007,
Anloo,2008,
Anloo,2009,
Anloo,2010,
Anloo,2011,
Anloo,2012,
Anloo,2013,
Anloo,2014,
Anloo,2015,
Anloo,2016,
Anloo,2017,
Anloo,2018,
Anloo,2019,
Anloo,2020,
Anloo,2021,
Anloo,2022,
Anloo,2023,
Anloo,2024,
Anna Paulowna,1997,79.0
Anna Paulowna,1998,78.0
Anna Paulowna,1999,79.0
Anna Paulowna,2000,79.0
Anna Paulowna,2001,132.0
Anna Paulowna,2002,130.0
Anna Paulowna,2003,130.0
Anna Paulowna,2004,132.0
Anna Paulowna,2005,193.0
Anna Paulowna,2006,194.0
Anna Paulowna,2007,206.0
Anna Paulowna,2008,223.0
Anna Paulowna,2009,230.0
Anna Paulowna,2010,230.0
Anna Paulowna,2011,228.0
Anna Paulowna,2012,
Anna Paulowna,2013,
Anna Paulowna,2014,
Anna Paulowna,2015,
Anna Paulowna,2016,
Anna Paulowna,2017,
Anna Paulowna,2018,
Anna Paulowna,2019,
Anna Paulowna,2020,
Anna Paulowna,2021,
Anna Paulowna,2022,
Anna Paulowna,2023,
Anna Paulowna,2024,
Appingedam,1997,52.0
Appingedam,1998,52.0
Appingedam,1999,52.0
Appingedam,2000,53.0
Appingedam,2001,74.0
Appingedam,2002,74.0
Appingedam,2003,76.0
Appingedam,2004,77.0
Appingedam,2005,117.0
Appingedam,2006,118.0
Appingedam,2007,137.0
Appingedam,2008,145.0
Appingedam,2009,150.0
Appingedam,2010,152.0
Appingedam,2011,156.0
Appingedam,2012,154.0
Appingedam,2013,149.0
Appingedam,2014,142.0
Appingedam,2015,134.0
Appingedam,2016,131.0
Appingedam,2017,133.0
Appingedam,2018,138.0
Appingedam,2019,143.0
Appingedam,2020,155.0
Appingedam,2021,
Appingedam,2022,
Appingedam,2023,
Appingedam,2024,
Assen,1997,66.0
Assen,1998,68.0
Assen,1999,68.0
Assen,2000,69.0
Assen,2001,94.0
Assen,2002,95.0
Assen,2003,97.0
Assen,2004,98.0
Assen,2005,148.0
Assen,2006,149.0
Assen,2007,161.0
Assen,2008,173.0
Assen,2009,181.0
Assen,2010,182.0
Assen,2011,181.0
Assen,2012,177.0
Assen,2013,170.0
Assen,2014,162.0
Assen,2015,159.0
Assen,2016,159.0
Assen,2017,168.0
Assen,2018,172.0
Assen,2019,184.0
Assen,2020,195.0
Assen,2021,210.0
Assen,2022,237.0
Assen,2023,278.0
Assen,2024,284.0
Emmen,1997,69.0
Emmen,1998,69.0
Emmen,1999,70.0
Emmen,2000,70.0
Emmen,2001,100.0
Emmen,2002,100.0
Emmen,2003,101.0
Emmen,2004,102.0
Emmen,2005,151.0
Emmen,2006,152.0
Emmen,2007,167.0
Emmen,2008,178.0
Emmen,2009,185.0
Emmen,2010,185.0
Emmen,2011,177.0
Emmen,2012,173.0
Emmen,2013,164.0
Emmen,2014,153.0
Emmen,2015,147.0
Emmen,2016,148.0
Emmen,2017,147.0
Emmen,2018,150.0
Emmen,2019,163.0
Emmen,2020,174.0
Emmen,2021,186.0
Emmen,2022,208.0
Emmen,2023,240.0
Emmen,2024,251.0
Loppersum,1997,49.0
Loppersum,1998,50.0
Loppersum,1999,50.0
Loppersum,2000,50.0
Loppersum,2001,87.0
Loppersum,2002,87.0
Loppersum,2003,88.0
Loppersum,2004,88.0
Loppersum,2005,139.0
Loppersum,2006,140.0
Loppersum,2007,156.0
Loppersum,2008,171.0
Loppersum,2009,177.0
Loppersum,2010,177.0
Loppersum,2011,174.0
Loppersum,2012,171.0
Loppersum,2013,165.0
Loppersum,2014,152.0
Loppersum,2015,145.0
Loppersum,2016,143.0
Loppersum,2017,144.0
Loppersum,2018,149.0
Loppersum,2019,161.0
Loppersum,2020,175.0
Loppersum,2021,
Loppersum,2022,
Loppersum,2023,
Loppersum,2024,
Roden,1997,80.0
Roden,1998,
Roden,1999,
Roden,2000,
Roden,2001,
Roden,2002,
Roden,2003,
Roden,2004,
Roden,2005,
Roden,2006,
Roden,2007,
Roden,2008,
Roden,2009,
Roden,2010,
Roden,2011,
Roden,2012,
Roden,2013,
Roden,2014,
Roden,2015,
Roden,2016,
Roden,2017,
Roden,2018,
Roden,2019,
Roden,2020,
Roden,2021,
Roden,2022,
Roden,2023,
Roden,2024,
Schoorl,1997,138.0
Schoorl,1998,138.0
Schoorl,1999,139.0
Schoorl,2000,139.0
Schoorl,2001,
Schoorl,2002,
Schoorl,2003,
Schoorl,2004,
Schoorl,2005,
Schoorl,2006,
Schoorl,2007,
Schoorl,2008,
Schoorl,2009,
Schoorl,2010,
Schoorl,2011,
Schoorl,2012,
Schoorl,2013,
Schoorl,2014,
Schoorl,2015,
Schoorl,2016,
Schoorl,2017,
Schoorl,2018,
